frame_cnt,latitude,longitude,altitude,yaw,pitch,roll,focal_len
95,36.402263,127.421520,84.244,116.3,-29.8,0.0,24.00
96,36.402263,127.421520,84.244,116.6,-29.8,0.0,24.00
97,36.402264,127.421520,84.243,116.6,-29.8,0.0,24.00
98,36.402264,127.421520,84.243,116.6,-29.8,0.0,24.00
99,36.402264,127.421520,84.243,116.8,-29.8,0.0,24.00
100,36.402265,127.421521,84.243,116.8,-29.8,0.0,24.00
101,36.402265,127.421521,84.243,116.8,-29.8,0.0,24.00
102,36.402265,127.421521,84.243,117.1,-29.8,0.0,24.00
103,36.402266,127.421521,84.243,117.1,-29.8,0.0,24.00
104,36.402266,127.421521,84.243,117.1,-29.8,0.0,24.00
105,36.402267,127.421522,84.243,117.4,-29.8,0.0,24.00
106,36.402267,127.421522,84.243,117.4,-29.8,0.0,24.00
107,36.402267,127.421522,84.243,117.4,-29.8,0.0,24.00
108,36.402267,127.421522,84.243,117.8,-29.8,0.0,24.00
109,36.402268,127.421523,84.243,117.8,-29.8,0.0,24.00
110,36.402268,127.421523,84.243,117.8,-29.8,0.0,24.00
111,36.402269,127.421523,84.243,118.2,-29.8,0.0,24.00
112,36.402269,127.421523,84.243,118.2,-29.8,0.0,24.00
113,36.402269,127.421523,84.243,118.2,-29.8,0.0,24.00
114,36.402269,127.421523,84.243,118.6,-29.8,0.0,24.00
115,36.402270,127.421524,84.243,118.6,-29.8,0.0,24.00
116,36.402270,127.421524,84.243,118.6,-29.8,0.0,24.00
117,36.402270,127.421524,84.243,119.1,-29.8,0.0,24.00
118,36.402271,127.421525,84.243,119.1,-29.8,0.0,24.00
119,36.402271,127.421525,84.243,119.1,-29.8,0.0,24.00
120,36.402271,127.421525,84.243,119.5,-29.8,0.0,24.00
121,36.402272,127.421525,84.244,119.5,-29.8,0.0,24.00
122,36.402272,127.421525,84.244,119.5,-29.8,0.0,24.00
123,36.402272,127.421525,84.244,119.9,-29.8,0.0,24.00
124,36.402273,127.421526,84.244,119.9,-29.8,0.0,24.00
125,36.402273,127.421526,84.244,119.9,-29.8,0.0,24.00
126,36.402273,127.421526,84.244,120.3,-29.8,0.0,24.00
127,36.402273,127.421527,84.244,120.3,-29.8,0.0,24.00
128,36.402273,127.421527,84.244,120.3,-29.8,0.0,24.00
129,36.402274,127.421528,84.244,120.7,-29.8,0.0,24.00
130,36.402274,127.421528,84.244,120.7,-29.8,0.0,24.00
131,36.402274,127.421528,84.244,120.7,-29.8,0.0,24.00
132,36.402275,127.421528,84.243,121.1,-29.8,0.0,24.00
133,36.402275,127.421528,84.243,121.1,-29.8,0.0,24.00
134,36.402275,127.421528,84.243,121.1,-29.8,0.0,24.00
135,36.402275,127.421528,84.243,121.5,-29.8,0.0,24.00
136,36.402276,127.421529,84.243,121.5,-29.8,0.0,24.00
137,36.402276,127.421529,84.243,121.5,-29.8,0.0,24.00
138,36.402277,127.421530,84.243,121.9,-29.8,0.0,24.00
139,36.402277,127.421530,84.243,121.9,-29.8,0.0,24.00
140,36.402277,127.421530,84.243,121.9,-29.8,0.0,24.00
141,36.402278,127.421531,84.243,122.3,-29.8,0.0,24.00
142,36.402278,127.421531,84.243,122.3,-29.8,0.0,24.00
143,36.402278,127.421531,84.243,122.3,-29.8,0.0,24.00
144,36.402278,127.421531,84.243,122.8,-29.8,0.0,24.00
